Country Name,Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,Adjusted savings: natural resources depletion (% of GNI) ,CO2 emissions (metric tons per capita) ,Energy use (kg of oil equivalent per capita) ,Forest area (% of land area) ,Agricultural land (% of land area) ,GDP growth (annual %) ,Net migration ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ",Population density (people per sq. km of land area) ,Renewable energy consumption (% of total final energy consumption) ,Tree Cover Loss (hectares) 
Qatar,100,100,14.30745431,45.40608688,19635.42435,31.14270224,5.56416882,7.492758483,106609,82.72531438,73.10163652,0.03,40787.57143
Romania,100,95.59192657,1.425492307,4.441102202,1810.327263,28.0046091,61.65753544,4.668148051,-129933,18.68745983,92.70234368,18.48,19418
Russian Federation,99.3,98.03403473,9.473704119,11.23185215,4540.908156,49.58077733,13.16615989,6.399965448,244437,14.34288935,8.761088894,3.61,1589993
Rwanda,0.1,4.8,5.543992143,0.07942347135,649.7397021,11.18767734,76.24645318,9.377898103,-23051,35.81545959,365.8815971,89.25,822
Samoa,22.3,91.13897705,0.3357758681,0.9494979483,302.1852767,59.6819788,14.8409894,6.639203613,-4040,11.55631281,66.65229682,48.89,5786.642857
Sao Tome and Principe,0.6,55.75134659,2.805421745,0.4948045522,265.9574468,60.65625,35.41666667,6.61462475,-1023,34.46843181,168.4166667,47.94,7651.214286
Saudi Arabia,100,100,15.74710546,12.92310028,5022.966275,0.4544841349,80.81025636,5.573850122,481349,60.18568335,11.34937782,0.01,381373.9286
Senegal,37.6,47.1,0.04334309756,0.5163268243,254.38614,44.98343115,45.58250662,4.310238526,-41857,56.80914644,56.99920532,40.32,72
Serbia,62.6,99.69072165,3.4765027,6.811809371,2159.573829,37.97217623,27.1294622,5.530347121,351,31.3759518,403.0796564,16.1,1551
Seychelles,100,95.50894165,0.08998931383,4.609090251,2751.695672,73.26086957,8.695652174,9.005761737,251,15.8964359,180.126087,0.94,9408.5
Sierra Leone,0.3,11.33248552,10.06340356,0.07856304064,1095.793998,39.21855085,52.8126905,4.35349995,-1805,49.70736055,78.73834857,88.11,6872
Singapore,100,100,0.000531538391,8.650599822,5055.96632,25.22046444,1.103047896,7.366322393,80422,16.01396045,6191.236575,0.54,82
Slovak Republic,100,99.93209839,0.02058224917,7.16912035,3504.475593,39.7018711,40.35343035,6.623461259,-219,22.19434728,111.7007692,6.31,27674
Slovenia,100,100,0.1190599085,7.956364342,3645.837437,61.56901688,25.27308838,3.797972642,8289,21.12988842,99.32840119,18.58,1951
Solomon Islands,8.3,19.23869514,1.752923165,0.6107949246,120.2107419,90.53018935,3.251161129,7.357841934,-2800,11.02061012,17.23779921,49.7,6549
Somalia,0.6,14.97909451,4.486016837,0.05546802363,1657.131665,11.3674403,70.33825358,3.620941766,-5955,26.5204689,16.68519782,93.3,272
South Africa,66.9,80.8,2.665530929,7.704297845,2616.447057,14.50518098,80.35924787,5.277051973,31424,27.03090776,40.4068511,9.89,104652
South Sudan,78.92857143,88.24690947,9.355796476,0.1190205411,5664.640766,33.25594845,23.86784447,5.136442166,132868,39.49592692,638.1676983,20.34571429,10566
Spain,100,100,0.003886390232,8.029197431,3251.397133,35.70425174,58.43435052,3.652084192,632974,12.34932779,87.4654972,7.3,48955
Sri Lanka,19.2,78.07408142,0.1030759398,0.7108109814,457.4926453,34.04592569,40.02551427,6.241748044,-36955,24.07469414,313.7277308,60.08,4682
